scenario,total_reward,steps
Scenario_571,364.0,7
Scenario_115,1000.0,1
Scenario_929,-15.0,5
Scenario_327,-1593.0,9
Scenario_585,-1488.0,3
Scenario_578,-42.0,10
Scenario_920,-1379.0,9
Scenario_123,1179.0,15
Scenario_311,686.0,2
Scenario_775,2960.0,11
Scenario_547,0.0,1
Scenario_781,684.0,3
Scenario_927,995.0,2
Scenario_329,0.0,1
Scenario_786,1000.0,1
Scenario_540,-18.0,3
Scenario_772,-278.0,10
Scenario_316,-582.0,15
Scenario_124,1985.0,5
Scenario_918,-773.0,14
Scenario_596,1164.0,3
Scenario_106,-102.0,12
Scenario_334,634.0,1
Scenario_750,610.0,1
Scenario_562,1960.0,10
Scenario_139,356.0,2
Scenario_905,70.0,1
Scenario_565,748.0,1
Scenario_757,1000.0,1
Scenario_333,622.0,1
Scenario_101,0.0,1
Scenario_591,678.0,3
Scenario_902,-832.0,2
Scenario_768,652.0,1
Scenario_305,0.0,1
Scenario_137,-944.0,1
Scenario_553,0.0,1
Scenario_761,1930.0,4
Scenario_795,366.0,15
Scenario_108,0.0,1
Scenario_934,-223.0,5
Scenario_598,1166.0,2
Scenario_792,1110.0,15
Scenario_766,840.0,3
Scenario_554,922.0,1
Scenario_130,-422.0,1
Scenario_302,-956.0,1
Scenario_933,874.0,7
Scenario_759,574.0,1
Scenario_993,-28.0,2
Scenario_967,370.0,1
Scenario_369,1000.0,1
Scenario_190,39.0,12
Scenario_500,1220.0,2
Scenario_732,-1089.0,6
Scenario_356,0.0,1
Scenario_958,2000.0,2
Scenario_164,1238.0,2
Scenario_538,932.0,8
Scenario_960,-1030.0,2
Scenario_994,153.0,15
Scenario_163,2021.0,8
Scenario_351,362.0,2
Scenario_735,0.0,1
Scenario_507,-61.0,2
Scenario_197,905.0,2
Scenario_358,1618.0,7
Scenario_956,0.0,1
Scenario_703,-966.0,3
Scenario_531,-1015.0,2
Scenario_969,320.0,5
Scenario_155,334.0,1
Scenario_367,2568.0,3
Scenario_393,-404.0,1
Scenario_199,978.0,3
Scenario_509,3004.0,10
Scenario_951,0.0,1
Scenario_394,2310.0,9
Scenario_360,-1030.0,7
Scenario_152,-25.0,7
Scenario_536,30.0,3
Scenario_704,308.0,5
Scenario_555,0.0,1
Scenario_767,-2090.0,1
Scenario_303,-254.0,1
Scenario_131,782.0,5
Scenario_793,415.0,10
Scenario_932,1392.0,3
Scenario_758,-1025.0,6
Scenario_794,-713.0,13
Scenario_136,544.0,4
Scenario_304,1011.0,12
Scenario_760,340.0,1
Scenario_552,-2300.0,4
Scenario_599,474.0,10
Scenario_935,-1198.0,2
Scenario_109,2028.0,9
Scenario_590,-1696.0,5
Scenario_756,-2035.0,8
Scenario_564,-1015.0,4
Scenario_100,2995.0,4
Scenario_332,-147.0,9
Scenario_903,-86.0,1
Scenario_769,0.0,1
Scenario_335,-314.0,7
Scenario_107,-190.0,5
Scenario_563,985.0,4
Scenario_751,-188.0,1
Scenario_597,-1060.0,13
Scenario_904,0.0,1
Scenario_138,116.0,2
Scenario_508,838.0,1
Scenario_950,1635.0,9
Scenario_198,-25.0,7
Scenario_153,712.0,1
Scenario_361,-1222.0,2
Scenario_705,0.0,1
Scenario_537,-1939.0,13
Scenario_395,-1015.0,4
Scenario_957,1712.0,2
Scenario_359,0.0,1
Scenario_392,443.0,5
Scenario_530,1666.0,7
Scenario_702,796.0,1
Scenario_366,1000.0,1
Scenario_154,1856.0,2
Scenario_968,680.0,2
Scenario_995,902.0,14
Scenario_539,-579.0,9
Scenario_961,224.0,8
Scenario_196,-890.0,1
Scenario_350,-322.0,2
Scenario_162,1068.0,12
Scenario_506,-2715.0,11
Scenario_734,796.0,1
Scenario_368,1333.0,10
Scenario_966,1944.0,15
Scenario_992,-327.0,3
Scenario_733,-1112.0,1
Scenario_501,0.0,1
Scenario_165,-618.0,3
Scenario_959,482.0,2
Scenario_357,1985.0,5
Scenario_191,-314.0,7
Scenario_487,1526.0,11
Scenario_11,0.0,1
Scenario_225,0.0,1
Scenario_641,-197.0,7
Scenario_473,-653.0,14
Scenario_814,1276.0,4
Scenario_474,1000.0,1
Scenario_646,4.0,1
Scenario_222,0.0,1
Scenario_16,1262.0,2
Scenario_480,984.0,3
Scenario_813,0.0,1
Scenario_29,-1778.0,1
Scenario_679,-656.0,1
Scenario_214,144.0,3
Scenario_20,-480.0,11
Scenario_442,639.0,13
Scenario_670,-1088.0,15
Scenario_684,64.0,1
Scenario_825,-702.0,10
Scenario_489,-778.0,2
Scenario_683,-69.0,7
Scenario_677,1460.0,2
Scenario_445,0.0,1
Scenario_27,1120.0,4
Scenario_213,-344.0,10
Scenario_822,-1435.0,9
Scenario_18,88.0,1
Scenario_648,1603.0,13
Scenario_882,124.0,1
Scenario_876,51.0,3
Scenario_278,-1045.0,11
Scenario_87,1926.0,3
Scenario_411,1000.0,1
Scenario_623,0.0,1
Scenario_247,1000.0,1
Scenario_73,2629.0,7
Scenario_849,-664.0,5
Scenario_429,0.0,1
Scenario_871,1686.0,6
Scenario_885,-128.0,1
Scenario_74,0.0,1
Scenario_240,0.0,1
Scenario_624,765.0,3
Scenario_416,688.0,1
Scenario_80,-442.0,11
Scenario_249,-1554.0,12
Scenario_847,1791.0,3
Scenario_89,1993.0,4
Scenario_612,236.0,11
Scenario_420,-1568.0,4
Scenario_42,64.0,7
Scenario_878,608.0,11
Scenario_276,-1563.0,11
Scenario_282,1433.0,8
Scenario_418,815.0,2
Scenario_840,995.0,2
Scenario_285,1706.0,11
Scenario_271,-38.0,1
Scenario_45,-2719.0,6
Scenario_427,1000.0,1
Scenario_615,2000.0,2
Scenario_444,2000.0,2
Scenario_676,-1055.0,13
Scenario_212,-35.0,9
Scenario_26,0.0,1
Scenario_682,-1050.0,12
Scenario_19,507.0,3
Scenario_823,-528.0,3
Scenario_649,-3168.0,12
Scenario_685,0.0,1
Scenario_21,965.0,10
Scenario_215,1068.0,3
Scenario_671,188.0,2
Scenario_443,456.0,10
Scenario_488,10.0,1
Scenario_824,-1005.0,2
Scenario_481,630.0,3
Scenario_647,2000.0,2
Scenario_475,664.0,7
Scenario_17,0.0,1
Scenario_223,-36.0,10
Scenario_28,1143.0,3
Scenario_812,-263.0,10
Scenario_678,-435.0,5
Scenario_224,-908.0,14
Scenario_10,724.0,1
Scenario_472,-735.0,10
Scenario_640,1100.0,2
Scenario_486,878.0,2
Scenario_815,1000.0,1
Scenario_419,478.0,1
Scenario_841,0.0,1
Scenario_44,550.0,1
Scenario_270,165.0,3
Scenario_614,0.0,1
Scenario_426,995.0,2
Scenario_284,1645.0,4
Scenario_88,0.0,1
Scenario_846,8.0,2
Scenario_248,874.0,1
Scenario_283,0.0,1
Scenario_421,1000.0,1
Scenario_613,-6425.0,9
Scenario_277,-1622.0,1
Scenario_879,590.0,2
Scenario_43,530.0,11
Scenario_884,-325.0,7
Scenario_428,960.0,7
Scenario_870,0.0,1
Scenario_81,1404.0,9
Scenario_241,1000.0,1
Scenario_75,-436.0,2
Scenario_417,-1626.0,3
Scenario_625,-1931.0,8
Scenario_279,-1384.0,8
Scenario_877,-351.0,10
Scenario_883,520.0,1
Scenario_622,-1130.0,1
Scenario_410,705.0,3
Scenario_848,3118.0,4
Scenario_72,-1035.0,8
Scenario_246,-852.0,3
Scenario_86,938.0,8
Scenario_659,-1080.0,17
Scenario_09,1783.0,13
Scenario_833,475.0,14
Scenario_692,0.0,1
Scenario_36,686.0,2
Scenario_202,2948.0,5
Scenario_666,0.0,1
Scenario_454,0.0,1
Scenario_834,825.0,3
Scenario_498,-1379.0,4
Scenario_453,1995.0,3
Scenario_661,0.0,1
Scenario_205,850.0,1
Scenario_31,1456.0,7
Scenario_695,-650.0,1
Scenario_668,-254.0,1
Scenario_38,0.0,1
Scenario_802,0.0,1
Scenario_233,-861.0,3
Scenario_07,328.0,7
Scenario_465,-1259.0,11
Scenario_657,0.0,1
Scenario_491,-2118.0,3
Scenario_805,0.0,1
Scenario_496,-1360.0,9
Scenario_650,1000.0,1
Scenario_462,1345.0,4
Scenario_234,-140.0,10
Scenario_294,941.0,8
Scenario_436,-620.0,4
Scenario_604,0.0,1
Scenario_260,0.0,1
Scenario_54,1074.0,3
Scenario_851,-65.0,12
Scenario_409,-1082.0,1
Scenario_869,0.0,1
Scenario_53,-549.0,3
Scenario_267,698.0,5
Scenario_603,1230.0,3
Scenario_431,976.0,1
Scenario_293,-526.0,10
Scenario_258,1990.0,4
Scenario_856,950.0,2
Scenario_98,-1170.0,9
Scenario_635,2965.0,10
Scenario_407,964.0,1
Scenario_65,778.0,1
Scenario_251,2605.0,4
Scenario_91,0.0,1
Scenario_860,196.0,1
Scenario_438,1511.0,5
Scenario_894,-15.0,5
Scenario_96,1051.0,4
Scenario_256,3678.0,12
Scenario_858,0.0,1
Scenario_62,-3136.0,10
Scenario_400,-656.0,1
Scenario_632,-1405.0,11
Scenario_893,0.0,1
Scenario_867,50.0,8
Scenario_269,0.0,1
Scenario_804,848.0,2
Scenario_463,0.0,1
Scenario_651,622.0,1
Scenario_235,823.0,7
Scenario_01,1428.0,6
Scenario_497,0.0,1
Scenario_669,1986.0,3
Scenario_803,2011.0,10
Scenario_39,-1010.0,3
Scenario_490,326.0,2
Scenario_06,-2249.0,9
Scenario_232,726.0,3
Scenario_656,0.0,1
Scenario_464,-414.0,14
Scenario_499,1388.0,8
Scenario_835,-376.0,11
Scenario_694,1648.0,4
Scenario_660,-4.0,11
Scenario_452,839.0,14
Scenario_30,-125.0,11
Scenario_204,-674.0,1
Scenario_658,0.0,1
Scenario_832,0.0,1
Scenario_08,-1025.0,6
Scenario_203,896.0,5
Scenario_37,1109.0,11
Scenario_455,1269.0,3
Scenario_667,-65.0,4
Scenario_693,-49.0,5
Scenario_63,3459.0,12
Scenario_859,-642.0,6
Scenario_257,-216.0,3
Scenario_633,3000.0,3
Scenario_401,865.0,13
Scenario_97,0.0,1
Scenario_268,0.0,1
Scenario_866,1975.0,7
Scenario_892,-1859.0,10
Scenario_90,1470.0,6
Scenario_406,0.0,1
Scenario_634,178.0,10
Scenario_250,1000.0,1
Scenario_64,1215.0,3
Scenario_895,810.0,3
Scenario_861,-1020.0,5
Scenario_439,-35.0,8
Scenario_292,1282.0,7
Scenario_266,974.0,2
Scenario_52,-2437.0,11
Scenario_868,979.0,4
Scenario_430,2000.0,2
Scenario_602,-1085.0,4
Scenario_99,-22.0,5
Scenario_857,1050.0,6
Scenario_259,-487.0,9
Scenario_605,-2227.0,14
Scenario_437,0.0,1
Scenario_55,0.0,1
Scenario_261,-1474.0,2
Scenario_295,995.0,2
Scenario_850,22.0,1
Scenario_408,-2860.0,2
Scenario_748,2427.0,9
Scenario_922,-519.0,9
Scenario_783,514.0,1
Scenario_121,188.0,5
Scenario_313,-1204.0,10
Scenario_777,2990.0,5
Scenario_545,-1785.0,6
Scenario_925,0.0,1
Scenario_119,1965.0,9
Scenario_589,-2325.0,9
Scenario_542,-237.0,10
Scenario_770,0.0,1
Scenario_314,-969.0,6
Scenario_126,142.0,7
Scenario_784,-19.0,5
Scenario_779,1172.0,2
Scenario_913,1179.0,6
Scenario_322,518.0,2
Scenario_110,0.0,1
Scenario_574,0.0,1
Scenario_746,658.0,1
Scenario_580,-58.0,5
Scenario_914,690.0,9
Scenario_128,-44.0,4
Scenario_587,-1840.0,2
Scenario_741,188.0,8
Scenario_573,838.0,1
Scenario_117,0.0,1
Scenario_325,-2899.0,11
Scenario_385,208.0,4
Scenario_527,278.0,2
Scenario_715,-1015.0,4
Scenario_371,174.0,3
Scenario_143,-191.0,4
Scenario_188,0.0,1
Scenario_940,460.0,1
Scenario_518,1145.0,5
Scenario_144,1835.0,14
Scenario_978,-534.0,16
Scenario_376,426.0,3
Scenario_712,0.0,1
